Country,TIME_PERIOD,OBS_VALUE
New Zealand,2022,62162
United States,2022,4017440
Canada,2021,427390
New Zealand,2021,59648
United States,2021,3975160
Canada,2018,402895
Denmark,2018,66365
Japan,2018,1576040
New Zealand,2018,53595
United States,2018,3883070
Canada,2020,417893
Denmark,2020,67830
Japan,2020,1621095
New Zealand,2020,57677
Canada,2019,411131
Denmark,2019,66940
New Zealand,2019,54512
United States,2019,3930890
United States,2020,3923300
